unigram,sum,frequency,mean
amoooo,9.0,1,9.0
drench,8.5,1,8.5
pepe,99.19999999999999,11,9.018181818181818
vice,8.6,1,8.6
drinkie,8.7,1,8.7
tavuk,9.2,1,9.2
horrendously,9.1,1,9.1
chemical,9.4,1,9.4
lhbtlikestilling,7.1,1,7.1
interest,9.2,1,9.2
vegg,9.0,1,9.0
early,624.4000000000004,71,8.794366197183106
right,1097.1000000000008,127,8.638582677165362
turf,45.5,5,9.1
remove,33.9,4,8.475
temporary,18.2,2,9.1
biz,54.5,6,9.083333333333334
hidden,186.90000000000003,21,8.900000000000002
pecorino,36.4,4,9.1
inflated,8.7,1,8.7
cheesesteak,80.3,9,8.922222222222222
souvenir,17.8,2,8.9
overhear,7.3,1,7.3
impart,9.0,1,9.0
comforting,9.1,1,9.1
beth,9.0,1,9.0
instrumental,7.3,1,7.3
invite,40.7,5,8.14
patty,31.6,4,7.9
clever,18.299999999999997,2,9.149999999999999
fatty,96.50000000000001,11,8.772727272727273
recreate,9.1,1,9.1
martinis,9.0,1,9.0
valrhona,9.1,1,9.1
court,8.1,1,8.1
toddler,6.5,1,6.5
wholly,9.0,1,9.0
forty,9.0,1,9.0
haves,61.50000000000001,7,8.785714285714286
issue,64.3,8,8.0375
aus,7.1,1,7.1
medley,43.1,5,8.620000000000001
jalpeno,7.6,1,7.6
wow,318.4999999999999,36,8.84722222222222
chalkboard,8.7,1,8.7
broccoli,328.99999999999994,39,8.435897435897434
remain,71.3,8,8.9125
tht,8.0,1,8.0
stiller,8.6,1,8.6
kwak,9.3,1,9.3
kucuk,8.1,1,8.1
cups,17.1,2,8.55
tray,15.1,2,7.55
fluorescent,17.299999999999997,2,8.649999999999999
overtake,9.1,1,9.1
combo,389.2000000000001,45,8.64888888888889
tandoor,27.299999999999997,3,9.1
zippy,9.1,1,9.1
gosta,9.0,1,9.0
ouch,9.2,1,9.2
habenero,8.2,1,8.2
gordo,17.8,2,8.9
pussycat,9.0,1,9.0
mile,43.3,5,8.66
superbly,8.5,1,8.5
orgasm,61.00000000000001,7,8.714285714285715
apropo,8.6,1,8.6
rezzy,18.4,2,9.2
complain,115.30000000000001,14,8.235714285714286
execute,25.4,3,8.466666666666667
swift,9.2,1,9.2
tem,16.8,2,8.4
karina,9.1,1,9.1
bullion,9.1,1,9.1
kookies,9.1,1,9.1
yaki,95.0,11,8.636363636363637
classy,51.900000000000006,6,8.65
diver,9.4,1,9.4
piping,8.0,1,8.0
pastel,9.2,1,9.2
appreciate,53.7,6,8.950000000000001
ideally,6.8,1,6.8
invention,16.8,2,8.4
neat,52.199999999999996,6,8.7
creame,8.9,1,8.9
marinate,54.0,6,9.0
foil,8.9,1,8.9
shingo,8.4,1,8.4
couple,274.29999999999995,32,8.571874999999999
bus,25.1,3,8.366666666666667
guide,26.0,3,8.666666666666666
soy,630.9000000000004,75,8.412000000000006
recent,18.6,2,9.3
loooong,15.7,2,7.85
fishball,8.0,1,8.0
surroundings,8.7,1,8.7
rustic,34.9,4,8.725
naked,7.2,1,7.2
from,2913.299999999992,340,8.568529411764683
magazine,91.0,12,7.583333333333333
suppose,42.6,5,8.52
cap,59.89999999999999,7,8.557142857142855
entertaining,15.100000000000001,2,7.550000000000001
tribeca,18.4,2,9.2
personalized,9.2,1,9.2
experience,670.1000000000007,75,8.934666666666676
pouco,9.2,1,9.2
vid,8.9,1,8.9
pass,243.79999999999995,29,8.406896551724136
dominche,9.2,1,9.2
refrain,17.1,2,8.55
strip,86.10000000000001,10,8.610000000000001
fave,398.59999999999997,45,8.857777777777777
pastrami,9.1,1,9.1
heat,156.6,18,8.7
typically,17.9,2,8.95
stack,25.9,3,8.633333333333333
effect,35.0,4,8.75
toddy,8.6,1,8.6
sear,71.5,8,8.9375
exxon,9.2,1,9.2
sophistication,9.1,1,9.1
approval,17.4,2,8.7
appetizing,9.4,1,9.4
baijiu,9.2,1,9.2
froth,16.8,2,8.4
quiero,8.6,1,8.6
maine,18.6,2,9.3
station,92.8,12,7.733333333333333
contain,67.1,8,8.3875
blast,15.6,2,7.8
foncy,9.1,1,9.1
floor,98.9,13,7.607692307692308
brainfreeze,9.2,1,9.2
minority,8.7,1,8.7
powder,69.2,8,8.65
over,1224.4000000000026,141,8.683687943262429
dry,687.1000000000003,77,8.923376623376626
suckao,27.0,3,9.0
drone,7.2,1,7.2
varenyky,45.5,5,9.1
couch,46.8,6,7.8
solo,102.30000000000001,11,9.3
charity,16.6,2,8.3
eastern,72.8,8,9.1
add,1133.8000000000013,130,8.721538461538472
proudly,7.3,1,7.3
belong,27.700000000000003,3,9.233333333333334
typical,122.79999999999998,15,8.186666666666666
focaccine,9.1,1,9.1
direct,9.1,1,9.1
charm,18.0,2,9.0
restart,8.3,1,8.3
baristo,8.7,1,8.7
lait,65.10000000000001,8,8.137500000000001
inspiring,17.4,2,8.7
shutter,9.1,1,9.1
junk,7.5,1,7.5
grab,758.5000000000005,91,8.33516483516484
shirley,8.6,1,8.6
young,107.40000000000002,13,8.261538461538462
tomate,7.8,1,7.8
omg,266.99999999999994,30,8.899999999999999
tampura,8.5,1,8.5
waffles,63.1,7,9.014285714285714
cane,23.7,3,7.8999999999999995
blended,36.3,4,9.075
blogging,9.0,1,9.0
paradise,63.300000000000004,7,9.042857142857143
live,414.2,48,8.629166666666666
quejio,8.0,1,8.0
staple,116.49999999999997,13,8.96153846153846
adequate,6.8,1,6.8
tear,26.8,3,8.933333333333334
interact,9.1,1,9.1
phoga,7.6,1,7.6
newer,9.0,1,9.0
omellette,7.6,1,7.6
