key,score,repeat,average
buns,4750.7,568,8.363908450704225
prefer,494.7,58,8.529310344827586
yells,9.1,1,9.1
incontournable,9.4,1,9.4
eyes,157.7,18,8.761111111111111
ensemble,9.3,1,9.3
mimi,64.0,8,8.0
skyy,8.7,1,8.7
acoustic,25.8,3,8.6
socca,9.0,1,9.0
sadly,148.4,17,8.729411764705883
bouillabaisse,33.4,4,8.35
americanised,8.9,1,8.9
hordes,27.4,3,9.133333333333333
von,9.1,1,9.1
cna,9.4,1,9.4
pantries,7.1,1,7.1
deu,9.4,1,9.4
thereof,9.2,1,9.2
asi,9.4,1,9.4
jarritos,32.7,4,8.175
sandradubrov,18.6,2,9.3
actually,1277.3,154,8.294155844155844
emily,17.5,2,8.75
kokteyller,18.4,2,9.2
swedenim,9.5,1,9.5
coment,9.5,1,9.5
additions,43.5,5,8.7
lone,9.1,1,9.1
reproach,9.2,1,9.2
hidangan,9.4,1,9.4
bases,27.6,3,9.200000000000001
working,470.4,58,8.110344827586207
thieves,9.0,1,9.0
oin,9.2,1,9.2
accents,18.5,2,9.25
balthasar,9.4,1,9.4
ribbon,73.4,9,8.155555555555557
evidenced,9.3,1,9.3
fontana,8.6,1,8.6
establishments,52.3,6,8.716666666666667
practically,60.4,7,8.628571428571428
tequila,102.2,14,7.3
iconic,99.4,11,9.036363636363637
lamps,52.4,6,8.733333333333333
wei,8.7,1,8.7
delicous,35.7,4,8.925
gar,27.3,3,9.1
doesn,1093.3,131,8.345801526717556
superbly,26.3,3,8.766666666666667
erryday,8.9,1,8.9
granita,72.6,8,9.075
stickier,8.8,1,8.8
fluffiest,9.4,1,9.4
marketed,9.5,1,9.5
pinot,87.4,11,7.945454545454546
malt,69.4,9,7.711111111111112
flavored,290.2,35,8.291428571428572
tabasco,15.7,2,7.85
kahvalt,9.4,1,9.4
suite,8.4,1,8.4
coloring,9.1,1,9.1
meister,9.4,1,9.4
tripe,97.1,11,8.827272727272726
discontent,9.5,1,9.5
dollars,262.4,31,8.464516129032257
knuckle,9.1,1,9.1
mystery,25.7,3,8.566666666666666
windowed,16.2,2,8.1
brick,171.6,20,8.58
stoop,9.2,1,9.2
drag,42.7,5,8.540000000000001
default,9.4,1,9.4
professional,75.7,9,8.411111111111111
cupid,9.2,1,9.2
chuckle,9.0,2,4.5
cochinita,18.4,2,9.2
russell,9.0,1,9.0
sit,2969.3,353,8.411614730878188
appearance,27.4,3,9.133333333333333
contamination,7.5,1,7.5
parentsconnect,35.4,4,8.85
lucky,266.4,31,8.593548387096773
bizza,9.6,1,9.6
deepest,9.6,1,9.6
unto,9.5,1,9.5
borsa,16.7,2,8.35
judgy,8.7,1,8.7
crunchy,518.3,60,8.638333333333332
puree,40.6,5,8.120000000000001
visitarla,9.5,1,9.5
angels,17.6,2,8.8
tori,35.8,4,8.95
vendors,60.6,8,7.575
sukiyaki,53.3,6,8.883333333333333
mah,18.3,3,6.1000000000000005
tuesdays,13.5,2,6.75
complain,89.7,11,8.154545454545454
rules,207.3,24,8.637500000000001
risks,9.0,1,9.0
alexis,9.0,1,9.0
flavorings,9.4,1,9.4
saved,51.4,6,8.566666666666666
vivace,9.6,1,9.6
amam,9.5,1,9.5
maravilhosa,18.4,2,9.2
picnic,69.5,8,8.6875
condensado,9.4,1,9.4
tendon,35.4,4,8.85
enlightened,9.2,1,9.2
casey,26.3,3,8.766666666666667
shovel,9.4,1,9.4
guter,9.4,1,9.4
pilsner,30.1,4,7.525
ekte,9.4,1,9.4
excessive,27.3,3,9.1
finely,25.4,3,8.466666666666667
bleu,20.5,3,6.833333333333333
loooove,31.1,4,7.775
probably,1320.3,156,8.463461538461539
rugalle,9.5,1,9.5
maintenance,8.8,1,8.8
hxmgnr,8.5,1,8.5
melts,188.2,21,8.961904761904762
advised,17.8,2,8.9
shaking,16.6,2,8.3
twirls,9.4,1,9.4
entries,8.8,1,8.8
paying,147.5,19,7.7631578947368425
crudo,124.7,15,8.313333333333334
noodleez,9.1,1,9.1
achieve,17.1,2,8.55
loovee,9.3,1,9.3
babcia,9.1,1,9.1
liberally,34.4,4,8.6
yakiniku,17.8,2,8.9
duhhhh,9.3,1,9.3
reborn,18.4,2,9.2
rugula,8.8,1,8.8
einen,9.0,1,9.0
shakburger,9.4,1,9.4
usw,9.6,1,9.6
colonialists,9.2,1,9.2
pleasing,18.4,2,9.2
intoxicating,9.5,1,9.5
beano,15.2,2,7.6
speaks,44.3,5,8.86
socialvore,9.6,1,9.6
recommend,2472.3,289,8.554671280276818
btls,6.5,1,6.5
savvy,18.6,2,9.3
fillers,9.1,1,9.1
eckerton,9.6,1,9.6
sordid,8.1,1,8.1
mevsimi,9.4,2,4.7
jive,9.2,1,9.2
july,85.2,10,8.52
mangos,8.9,1,8.9
mhi,9.3,1,9.3
meatless,17.1,2,8.55
chaud,8.8,1,8.8
innovation,25.3,3,8.433333333333334
estimado,9.4,1,9.4
jittery,17.2,2,8.6
weiiiiiird,9.2,1,9.2
decade,24.7,3,8.233333333333333
longline,9.1,1,9.1
rawrrrrr,8.9,1,8.9
mouse,72.4,8,9.05
frukost,18.4,3,6.133333333333333
punny,7.2,1,7.2
variation,27.1,3,9.033333333333333
shed,8.2,1,8.2
html,90.4,11,8.218181818181819
padak,9.3,1,9.3
shop,2368.4,286,8.281118881118882
compliment,59.3,7,8.471428571428572
float,104.4,12,8.700000000000001
grass,131.4,15,8.76
narnia,9.0,1,9.0
handicap,8.9,2,4.45
expectations,181.4,21,8.638095238095238
misleading,18.4,2,9.2
entry,25.8,3,8.6
daqui,15.6,2,7.8
premises,59.7,7,8.528571428571428
pe,114.7,13,8.823076923076924
unusally,8.7,1,8.7
tables,1139.3,138,8.255797101449275
tek,27.3,3,9.1
divesh,8.2,1,8.2
superhero,7.8,1,7.8
canned,32.9,4,8.225
wished,60.2,7,8.6
screw,68.7,8,8.5875
broccoli,477.5,58,8.232758620689655
breeze,17.4,2,8.7
ammmaaaazing,9.2,1,9.2
celebridades,8.4,1,8.4
antidote,9.5,1,9.5
licuado,8.4,1,8.4
mashpotatoes,9.1,1,9.1
len,9.1,1,9.1
reward,44.4,5,8.879999999999999
amerikanske,7.1,1,7.1
motor,9.1,1,9.1
biker,8.4,1,8.4
actors,17.3,2,8.65
dhhd,8.7,1,8.7
verdura,18.5,2,9.25
ow,81.4,9,9.044444444444444
xia,8.9,1,8.9
imagined,26.4,3,8.799999999999999
banquettes,25.5,3,8.5
temporarily,9.6,1,9.6
ipanema,9.1,1,9.1
haya,9.2,1,9.2
zatar,8.7,1,8.7
olives,119.5,15,7.966666666666667
necks,26.1,3,8.700000000000001
caramely,9.1,1,9.1
aly,9.3,1,9.3
reign,8.8,1,8.8
sleeves,9.3,1,9.3
assuming,8.6,1,8.6
jason,18.1,2,9.05
satc,16.8,2,8.4
margarita,826.7,101,8.185148514851486
editor,54.3,6,9.049999999999999
livers,8.6,1,8.6
arrepender,18.5,2,9.25
muitissimo,8.7,1,8.7
jeeps,9.1,1,9.1
mim,26.4,3,8.799999999999999
snappy,61.3,7,8.757142857142856
seu,17.1,2,8.55
venieros,18.3,2,9.15
reserved,18.1,2,9.05
esperar,36.4,4,9.1
caraway,9.5,1,9.5
andare,9.3,1,9.3
potent,26.6,3,8.866666666666667
elsewhere,213.3,26,8.203846153846154
signless,8.8,1,8.8
keen,31.7,4,7.925
mushroomy,9.4,1,9.4
max,238.3,28,8.510714285714286
journals,9.5,1,9.5
tnx,8.4,1,8.4
dunia,9.4,1,9.4
nearby,297.7,36,8.269444444444444
tgi,7.5,1,7.5
sweethearts,22.2,3,7.3999999999999995
dismal,9.4,1,9.4
cheesemonger,9.5,1,9.5
unsalted,9.2,1,9.2
scream,88.2,15,5.88
tinie,9.1,1,9.1
punk,35.5,5,7.1
navigating,9.2,1,9.2
preferido,8.2,1,8.2
picklebacks,7.2,1,7.2
sorrows,9.4,1,9.4
gramery,9.6,1,9.6
saki,51.4,6,8.566666666666666
legendary,200.4,23,8.71304347826087
supreme,363.6,43,8.455813953488372
hence,35.2,4,8.8
craaaack,9.1,1,9.1
some,6346.3,769,8.252665799739923
sturgeon,17.4,2,8.7
hazlwnut,8.9,1,8.9
entregan,9.4,1,9.4
xupnkw,7.8,1,7.8
quinns,18.4,2,9.2
stole,42.7,5,8.540000000000001
mug,173.9,20,8.695
brur,9.6,1,9.6
algumas,9.3,1,9.3
baka,8.7,1,8.7
mhmmmm,6.9,1,6.9
stuffed,583.3,66,8.837878787878788
drinker,52.0,6,8.666666666666666
generously,33.2,4,8.3
gomez,7.2,1,7.2
brei,8.8,1,8.8
et,209.4,27,7.7555555555555555
fred,26.4,3,8.799999999999999
palmer,166.7,20,8.334999999999999
norah,9.6,1,9.6
dudas,8.8,1,8.8
bistecca,9.6,1,9.6
gesture,8.7,1,8.7
branch,82.0,10,8.2
agents,8.3,1,8.3
summery,9.4,1,9.4
revisit,9.5,1,9.5
yammmi,9.1,1,9.1
peril,8.8,1,8.8
relatives,9.4,1,9.4
dirt,51.4,6,8.566666666666666
goat,881.3,104,8.474038461538461
segunda,9.4,1,9.4
bret,9.1,1,9.1
services,67.6,8,8.45
fishbowls,21.2,3,7.066666666666666
ruim,9.1,1,9.1
curly,92.2,12,7.683333333333334
stampeding,8.9,1,8.9
tasteless,73.4,9,8.155555555555557
star,261.7,30,8.723333333333333
college,115.9,17,6.81764705882353
shazaam,8.4,1,8.4
ap,9.4,1,9.4
palladium,9.1,1,9.1
wooow,18.5,2,9.25
breaks,49.4,6,8.233333333333333
mentions,35.4,4,8.85
craig,9.0,1,9.0
millie,18.3,2,9.15
bend,9.5,1,9.5
chkn,9.6,1,9.6
attended,18.4,2,9.2
happy,2865.7,354,8.095197740112994
varied,43.3,5,8.66
locale,45.4,5,9.08
beth,27.6,3,9.200000000000001
limonlu,9.2,1,9.2
warn,61.4,7,8.77142857142857
decorative,9.2,1,9.2
muldoon,9.5,1,9.5
sassafras,9.2,1,9.2
baileys,27.3,3,9.1
grois,8.7,1,8.7
titanic,9.4,1,9.4
uraianya,9.3,1,9.3
vast,42.5,5,8.5
greed,9.3,1,9.3
filler,8.9,1,8.9
bayi,9.4,1,9.4
rec,35.7,4,8.925
ganoush,26.2,3,8.733333333333333
own,1123.7,135,8.323703703703703
kiwi,8.5,1,8.5
sommeliers,9.1,1,9.1
daikon,113.8,14,8.128571428571428
paper,210.4,27,7.792592592592593
patronage,7.2,1,7.2
dripper,18.2,2,9.1
riveria,9.2,1,9.2
hostesses,78.6,9,8.733333333333333
fraps,6.8,1,6.8
unsure,17.3,2,8.65
oven,377.5,45,8.38888888888889
drop,276.7,33,8.384848484848485
disney,24.3,3,8.1
queueing,9.4,1,9.4
hustle,36.3,4,9.075
proscuitto,40.6,5,8.120000000000001
ricas,27.5,4,6.875
albarino,6.9,1,6.9
klaus,18.5,2,9.25
shattered,9.1,1,9.1
iya,9.3,1,9.3
nationally,9.5,1,9.5
nasty,89.4,12,7.45
concretes,45.4,5,9.08
suit,33.2,4,8.3
ghost,24.7,3,8.233333333333333
ojan,6.8,1,6.8
tu,18.3,2,9.15
segundo,9.4,1,9.4
harm,9.4,1,9.4
showers,9.2,1,9.2
gan,9.3,2,4.65
aired,9.3,1,9.3
quinto,18.4,2,9.2
visited,70.3,8,8.7875
august,51.4,6,8.566666666666666
llevas,8.8,1,8.8
bblt,8.5,1,8.5
shorts,26.7,3,8.9
cheeze,9.4,1,9.4
sirloin,78.4,9,8.711111111111112
brim,9.4,1,9.4
overwhelming,175.3,20,8.765
departments,9.5,1,9.5
sellada,9.4,1,9.4
innovators,8.1,1,8.1
cristal,18.4,2,9.2
inefficient,41.8,5,8.36
tummy,92.7,11,8.427272727272728
selfcare,8.9,1,8.9
masterfully,8.2,1,8.2
head,758.3,90,8.425555555555555
ns,9.4,1,9.4
failure,24.1,3,8.033333333333333
wkly,9.6,1,9.6
yuzdrn,9.3,1,9.3
gott,9.4,1,9.4
enkel,9.4,1,9.4
nella,27.4,3,9.133333333333333
temperature,56.3,7,8.042857142857143
fyi,189.3,23,8.230434782608697
stalwart,9.6,1,9.6
sibaritas,9.5,1,9.5
yrs,25.4,3,8.466666666666667
preparatevi,9.3,1,9.3
ortalama,8.1,1,8.1
city,5352.3,630,8.495714285714286
monde,16.4,2,8.2
cinnabun,9.1,1,9.1
heaps,9.4,1,9.4
range,185.3,22,8.422727272727274
drizzled,70.3,8,8.7875
campus,83.2,10,8.32
miraculously,9.3,1,9.3
costela,9.4,1,9.4
bancone,9.4,1,9.4
satay,17.3,2,8.65
biologist,9.5,1,9.5
fees,24.2,3,8.066666666666666
hightop,9.0,1,9.0
bruce,27.3,3,9.1
hr,177.7,21,8.461904761904762
replicate,9.4,1,9.4
improvement,9.5,1,9.5
straightahead,9.4,1,9.4
yucateco,9.4,1,9.4
yummmmm,61.4,7,8.77142857142857
waking,18.3,2,9.15
complexo,9.5,1,9.5
lenka,18.3,2,9.15
grais,9.5,1,9.5
cosas,9.5,1,9.5
component,9.4,1,9.4
letters,26.4,3,8.799999999999999
braciole,9.6,1,9.6
buffer,9.2,1,9.2
burasi,9.3,1,9.3
forno,54.5,6,9.083333333333334
enorme,53.3,6,8.883333333333333
crepes,172.4,20,8.620000000000001
purveyor,9.3,1,9.3
pastarmi,9.3,1,9.3
immensely,9.4,1,9.4
prometheus,8.9,1,8.9
mixups,9.1,1,9.1
mayor,84.4,12,7.033333333333334
choking,9.2,1,9.2
tolerating,9.6,1,9.6
picknick,9.3,1,9.3
veniero,90.3,11,8.209090909090909
letterpress,9.5,1,9.5
engel,9.6,1,9.6
buckwheat,72.4,8,9.05
encourage,18.5,2,9.25
sweat,36.3,4,9.075
sense,49.4,6,8.233333333333333
blueberry,529.3,62,8.537096774193548
starf,8.4,1,8.4
facebook,103.4,12,8.616666666666667
qdoba,24.9,3,8.299999999999999
germans,8.1,1,8.1
eli,9.5,1,9.5
tatl,18.5,2,9.25
nummy,9.4,1,9.4
colegios,9.6,1,9.6
nailed,9.2,1,9.2
reportedly,6.8,1,6.8
impeccably,9.4,1,9.4
telaggio,8.7,1,8.7
normally,165.3,19,8.700000000000001
splashing,9.4,1,9.4
prepay,8.9,1,8.9
chain,339.4,41,8.278048780487804
majestic,9.2,1,9.2
storehourz,9.5,1,9.5
contain,16.1,2,8.05
just,8915.3,1058,8.426559546313799
focaccia,548.4,61,8.99016393442623
chile,104.4,13,8.03076923076923
garb,9.3,1,9.3
locos,18.5,3,6.166666666666667
eatin,9.4,1,9.4
wasn,749.3,89,8.419101123595505
margin,9.1,1,9.1
klasik,9.4,1,9.4
pappy,9.1,1,9.1
lupa,18.5,2,9.25
classe,9.4,1,9.4
amaazing,9.1,1,9.1
sandwichs,9.0,1,9.0
steady,15.0,2,7.5
opt,177.7,21,8.461904761904762
enduring,44.4,5,8.879999999999999
sai,7.3,1,7.3
but,26273.3,3205,8.197597503900155
coned,9.6,1,9.6
nigthlife,8.1,1,8.1
dummy,16.7,2,8.35
gluttonous,16.4,2,8.2
ca,102.3,12,8.525
calamaris,9.1,1,9.1
euro,44.4,5,8.879999999999999
wilfie,8.8,1,8.8
braving,18.3,2,9.15
rikers,6.6,2,3.3
rillettes,9.6,1,9.6
checked,56.4,7,8.057142857142857
servent,9.6,1,9.6
chipwich,9.2,1,9.2
ilhas,9.5,1,9.5
upbeat,23.7,3,7.8999999999999995
stica,35.4,4,8.85
pesto,456.5,56,8.151785714285714
almnara,9.4,1,9.4
dark,939.3,110,8.539090909090909
wayyy,18.1,2,9.05
ethereal,27.1,3,9.033333333333333
rick,36.1,4,9.025
sietsema,9.4,1,9.4
cozida,9.3,1,9.3
hemmed,8.9,1,8.9
todays,8.6,1,8.6
playlist,110.1,13,8.46923076923077
pushy,18.1,2,9.05
styled,18.3,2,9.15
fee,84.3,10,8.43
wizard,7.6,1,7.6
squished,8.2,1,8.2
chawanmushi,35.4,4,8.85
tracy,8.9,1,8.9
tartine,105.4,14,7.528571428571429
fantabulous,18.1,2,9.05
humbling,8.8,1,8.8
heartbreaking,7.5,1,7.5
reinterpretation,9.3,1,9.3
counter,1088.4,129,8.437209302325583
ainda,36.4,4,9.1
sorbe,9.2,1,9.2
mary,733.3,87,8.428735632183907
followed,124.3,14,8.878571428571428
codes,8.8,1,8.8
sour,646.4,76,8.505263157894737
cappy,9.2,1,9.2
yummm,114.7,13,8.823076923076924
oil,1718.7,199,8.636683417085427
hemingway,9.0,1,9.0
twos,8.7,1,8.7
salada,27.4,3,9.133333333333333
froyo,43.4,5,8.68
sitings,9.3,1,9.3
cumin,170.2,21,8.104761904761904
fringe,7.5,1,7.5
aubon,6.8,1,6.8
forever,545.3,64,8.5203125
yetitracks,8.9,1,8.9
coronation,9.3,1,9.3
donburi,25.4,3,8.466666666666667
pilgrimage,17.1,2,8.55
o,2185.3,356,6.138483146067416
approval,71.1,9,7.8999999999999995
cabbage,468.3,54,8.672222222222222
fluttery,9.4,1,9.4
girl,299.4,36,8.316666666666666
wabbit,9.1,1,9.1
trigger,9.6,1,9.6
undercooked,66.4,8,8.3
perf,17.4,2,8.7
depending,107.4,13,8.261538461538462
curiosity,8.8,1,8.8
slices,767.3,89,8.621348314606742
informed,51.1,6,8.516666666666667
extreme,58.7,7,8.385714285714286
licked,18.1,2,9.05
sherbet,36.1,4,9.025
lakes,9.6,1,9.6
scenesters,16.7,2,8.35
unrelated,9.2,1,9.2
cl,45.4,5,9.08
kids,368.7,45,8.193333333333333
coasters,9.4,1,9.4
"""secret",8.6,1,8.6
iwant,9.6,1,9.6
explique,9.3,1,9.3
leeuwen,45.2,5,9.040000000000001
paneras,6.8,1,6.8
european,217.4,25,8.696
clocking,9.1,1,9.1
parfait,87.3,10,8.73
girlfriend,78.5,9,8.722222222222221
kha,9.1,1,9.1
fudgy,9.3,1,9.3
capres,9.1,1,9.1
grumpy,49.2,6,8.200000000000001
continental,9.3,1,9.3
yea,129.3,15,8.620000000000001
driest,9.0,1,9.0
nem,36.5,4,9.125
este,95.7,12,7.9750000000000005
helpful,231.4,27,8.570370370370371
certa,9.3,1,9.3
artsy,17.3,2,8.65
coldbrew,9.3,1,9.3
coz,9.4,1,9.4
lengua,17.4,2,8.7
intolerance,9.1,1,9.1
repping,9.0,1,9.0
stroooong,9.1,1,9.1
dreamy,101.2,12,8.433333333333334
coogan,9.2,1,9.2
indian,59.9,7,8.557142857142857
brush,9.6,1,9.6
fiends,6.8,1,6.8
detalhe,8.5,1,8.5
great,28439.3,3644,7.804418221734358
com,1838.3,220,8.35590909090909
rosa,81.5,10,8.15
agendamento,9.0,1,9.0
kiosks,6.8,1,6.8
visto,9.3,1,9.3
discouraged,43.0,5,8.6
bimimbop,9.3,1,9.3
brrrr,17.3,2,8.65
booted,8.6,1,8.6
akkamaru,9.4,1,9.4
fool,96.7,11,8.790909090909091
everton,9.1,1,9.1
offline,8.9,1,8.9
satisyfying,6.2,1,6.2
calmer,9.1,1,9.1
grains,18.4,2,9.2
meravigliosa,9.4,1,9.4
mano,9.1,1,9.1
mucha,54.4,6,9.066666666666666
aji,17.4,2,8.7
advice,75.4,9,8.377777777777778
barcat,9.1,1,9.1
that,12598.3,1552,8.117461340206185
compliant,9.0,1,9.0
smarter,18.4,2,9.2
tearamisu,27.1,3,9.033333333333333
icrunch,7.2,1,7.2
lapsing,9.5,1,9.5
ricky,18.4,2,9.2
soo,153.4,19,8.073684210526316
chanterelles,27.4,3,9.133333333333333
audience,17.9,2,8.95
diets,7.5,1,7.5
simples,9.3,1,9.3
strategic,9.6,1,9.6
multicultural,9.1,1,9.1
partnered,8.6,1,8.6
sanduiwich,9.3,1,9.3
volatility,9.1,1,9.1
limoux,9.4,1,9.4
escarole,18.4,2,9.2
sliced,215.4,25,8.616
silent,18.4,2,9.2
finance,6.5,1,6.5
diversos,9.5,1,9.5
coo,9.4,1,9.4
herbal,31.9,4,7.975
tako,67.4,9,7.48888888888889
boy,205.7,24,8.570833333333333
syubidubidu,9.3,1,9.3
obsession,53.4,6,8.9
stations,25.5,3,8.5
softshell,9.1,1,9.1
hausgemacht,9.6,1,9.6
rangel,9.3,1,9.3
unquestionably,8.7,1,8.7
pieds,16.7,2,8.35
jfks,8.3,1,8.3
horrific,16.2,2,8.1
runannarun,6.5,1,6.5
wonka,53.7,6,8.950000000000001
mild,230.2,27,8.525925925925925
yammmy,8.1,1,8.1
blew,71.3,8,8.9125
legends,9.3,1,9.3
implore,18.4,2,9.2
peas,153.6,17,9.035294117647059
piccola,18.5,2,9.25
picos,9.3,1,9.3
brats,9.3,1,9.3
violet,9.0,1,9.0
bleach,9.2,1,9.2
baiano,24.1,3,8.033333333333333
advanced,18.4,2,9.2
bees,26.3,3,8.766666666666667
theirs,45.1,5,9.02
esquites,269.4,30,8.979999999999999
debit,32.0,4,8.0
shavedice,8.9,1,8.9
spirit,59.4,7,8.485714285714286
verry,26.4,3,8.799999999999999
verduras,15.6,2,7.8
cheats,9.1,1,9.1
llarna,9.1,1,9.1
turndown,8.4,1,8.4
service,8369.3,1007,8.311122144985104
juanita,9.4,1,9.4
pea,481.7,60,8.028333333333332
wearable,9.6,1,9.6
unicamente,9.3,1,9.3
ese,18.3,2,9.15
connolis,9.3,1,9.3
trophy,9.3,1,9.3
packed,875.7,104,8.420192307692307
beautful,9.5,1,9.5
stern,17.3,2,8.65
juicebar,8.2,1,8.2
playah,9.3,1,9.3
female,17.4,2,8.7
appeal,18.4,2,9.2
wsj,18.4,2,9.2
boosts,9.1,1,9.1
picante,26.5,3,8.833333333333334
rootbeer,9.4,1,9.4
entt,9.1,1,9.1
repeatedly,9.4,1,9.4
squalor,9.4,1,9.4
promos,9.3,1,9.3
overflowing,26.1,3,8.700000000000001
appetizing,9.4,1,9.4
mesmo,71.4,8,8.925
ekmekler,9.4,1,9.4
forested,9.4,1,9.4
snack,707.7,83,8.526506024096387
settlement,7.2,1,7.2
dead,92.3,11,8.39090909090909
assumption,8.7,1,8.7
davebeck,8.3,1,8.3
fuller,34.4,4,8.6
comidas,54.4,6,9.066666666666666
santos,8.7,1,8.7
wednesday,319.4,37,8.632432432432433
julep,52.3,6,8.716666666666667
medallion,27.2,3,9.066666666666666
minca,36.1,4,9.025
viernes,9.6,1,9.6
leather,25.4,3,8.466666666666667
derri,9.5,1,9.5
rasberry,9.1,1,9.1
luego,9.0,1,9.0
veau,27.4,3,9.133333333333333
omletleri,9.2,1,9.2
tradicional,53.4,6,8.9
complement,88.5,10,8.85
amt,8.8,1,8.8
mq,9.4,1,9.4
hoopla,9.4,1,9.4
chat,216.4,26,8.323076923076924
sun,270.7,32,8.459375
dysfunctional,9.4,1,9.4
lucia,9.1,1,9.1
shack,1751.4,208,8.420192307692307
modern,1444.3,162,8.915432098765432
upsold,9.1,1,9.1
kal,9.5,1,9.5
immigrant,8.8,1,8.8
kategori,9.4,1,9.4
concealing,9.1,1,9.1
cookieshake,36.0,4,9.0
mudman,27.2,3,9.066666666666666
sando,43.1,5,8.620000000000001
drama,15.6,2,7.8
wheels,8.5,1,8.5
relative,18.4,2,9.2
fucking,232.7,27,8.618518518518519
mm,58.3,8,7.2875
apertadas,9.1,1,9.1
meyer,188.4,21,8.971428571428572
rockhill,9.6,1,9.6
proverbial,18.5,2,9.25
dumpling,278.6,38,7.331578947368421
bot,15.4,2,7.7
hade,9.1,1,9.1
healthcare,9.2,1,9.2
okcupid,9.0,1,9.0
divide,9.4,1,9.4
curative,9.2,1,9.2
karashi,9.4,1,9.4
lunchbreaks,9.3,1,9.3
stairs,60.5,7,8.642857142857142
rement,9.4,1,9.4
bin,33.9,4,8.475
kloss,18.2,2,9.1
artisan,87.3,10,8.73
crumb,62.5,7,8.928571428571429
helados,34.5,4,8.625
weds,17.8,2,8.9
maravilhosas,9.1,1,9.1
erica,9.0,1,9.0
knack,17.4,2,8.7
shoud,9.1,1,9.1
live,767.3,92,8.340217391304348
danger,9.1,1,9.1
ein,18.3,2,9.15
traditionnels,9.4,1,9.4
eccellente,9.6,1,9.6
greets,8.0,1,8.0
persona,18.1,2,9.05
sombra,9.5,1,9.5
quela,8.8,1,8.8
handing,17.1,2,8.55
spain,8.9,1,8.9
store,920.4,113,8.145132743362831
kasaan,27.4,3,9.133333333333333
peppered,54.4,6,9.066666666666666
magnificent,61.6,7,8.8
touchy,8.4,1,8.4
zuke,9.4,1,9.4
intenties,7.1,1,7.1
see,1588.3,184,8.632065217391304
salon,6.8,1,6.8
jon,26.4,3,8.799999999999999
oak,18.3,2,9.15
beefing,9.4,1,9.4
specialized,26.5,3,8.833333333333334
disrespectful,9.4,1,9.4
martinis,133.7,16,8.35625
cois,9.6,1,9.6
mariscos,18.4,2,9.2
overthink,9.0,1,9.0
mcsorley,32.4,4,8.1
previous,34.0,4,8.5
porterhouse,41.6,5,8.32
sijoittajien,9.1,1,9.1
judaism,8.8,1,8.8
rings,86.3,11,7.845454545454545
moulin,8.8,1,8.8
culatello,9.1,1,9.1
portion,732.4,87,8.418390804597701
nugget,17.1,2,8.55
somewhat,118.7,14,8.47857142857143
explode,27.2,3,9.066666666666666
importance,18.1,2,9.05
purveyors,17.9,2,8.95
zaman,9.4,1,9.4
recommending,27.0,3,9.0
half,1504.3,226,6.656194690265487
castle,16.5,2,8.25
oysterssss,9.1,1,9.1
fret,17.2,2,8.6
jessebrightman,35.4,4,8.85
charms,9.6,1,9.6
sweater,25.1,3,8.366666666666667
flair,61.7,7,8.814285714285715
theatrics,8.5,1,8.5
biang,9.2,2,4.6
triplo,9.5,1,9.5
pino,8.7,1,8.7
aves,8.5,1,8.5
minty,7.5,1,7.5
piergo,9.1,1,9.1
wooohhhaaaa,9.4,1,9.4
stingy,25.0,3,8.333333333333334
spennato,9.5,1,9.5
racism,8.6,1,8.6
nova,84.4,10,8.440000000000001
marocaine,9.2,1,9.2
rapidly,9.5,1,9.5
columbe,45.3,5,9.059999999999999
mental,16.5,2,8.25
muuuucha,9.4,1,9.4
father,8.1,1,8.1
helps,76.3,9,8.477777777777778
customer,532.4,66,8.066666666666666
porchetta,143.5,17,8.441176470588236
choy,44.1,5,8.82
chopping,8.9,1,8.9
handmade,208.5,25,8.34
thuglife,9.1,1,9.1
potpie,27.1,3,9.033333333333333
located,223.3,26,8.588461538461539
overs,59.2,7,8.457142857142857
emphasis,17.2,2,8.6
ochasuke,9.4,1,9.4
lime,689.3,82,8.40609756097561
tingkat,9.4,1,9.4
impulse,9.2,1,9.2
lineup,27.5,3,9.166666666666666
flinch,9.1,1,9.1
voc,61.1,7,8.72857142857143
lani,9.6,1,9.6
epidermis,8.1,1,8.1
dontblowit,18.4,2,9.2
scandinavian,18.5,2,9.25
moscato,9.4,1,9.4
standbys,8.9,1,8.9
infused,155.7,18,8.649999999999999
golbs,8.9,1,8.9
conventional,9.1,1,9.1
caramels,8.7,1,8.7
romansco,9.2,1,9.2
jimmys,7.2,1,7.2
imperdivel,36.4,4,9.1
ottopizzeria,9.1,1,9.1
dylan,8.7,1,8.7
twinkies,9.3,1,9.3
beware,634.7,76,8.351315789473684
fav,595.3,69,8.627536231884058
appearing,18.5,2,9.25
southwestern,9.0,1,9.0
environmental,7.5,1,7.5
empreendimento,9.5,1,9.5
buco,9.4,1,9.4
ticket,357.3,41,8.714634146341464
necakajte,9.3,1,9.3
sweeter,70.2,9,7.800000000000001
blanc,43.4,5,8.68
citi,51.2,6,8.533333333333333
tov,6.5,1,6.5
distractions,18.5,2,9.25
trenta,15.2,2,7.6
pressure,18.6,2,9.3
australia,69.4,8,8.675
orecchiett,9.4,1,9.4
tirar,9.3,1,9.3
fi,407.4,54,7.544444444444444
sani,9.6,1,9.6
vodkha,9.6,1,9.6
orf,8.6,1,8.6
pedestrian,18.4,2,9.2
grabbing,106.4,13,8.184615384615386
