key,score,repeat,average
gallo,25.1,3,8.366666666666667
echelon,9.2,1,9.2
volle,9.0,1,9.0
canard,9.4,1,9.4
cram,9.0,1,9.0
bumpin,16.2,2,8.1
charitymiles,6.5,1,6.5
veder,9.5,1,9.5
hukitchen,18.0,2,9.0
elevados,9.0,1,9.0
shackburgers,9.4,1,9.4
pretend,61.7,7,8.814285714285715
closest,173.4,20,8.67
fame,89.4,10,8.940000000000001
way,4257.3,507,8.397041420118343
headset,6.6,1,6.6
eateries,72.5,8,9.0625
bicycle,8.8,1,8.8
panier,18.4,2,9.2
undo,8.9,1,8.9
uns,9.3,1,9.3
hadi,9.6,1,9.6
artfully,8.7,1,8.7
cappucino,56.8,7,8.114285714285714
sfool,9.3,1,9.3
clearly,132.4,16,8.275
cevizli,18.3,2,9.15
cracklings,9.4,1,9.4
leckeres,9.3,1,9.3
icy,53.2,6,8.866666666666667
officialhank,9.1,1,9.1
discuss,27.3,3,9.1
district,70.4,8,8.8
anglicized,9.1,1,9.1
cupping,9.3,1,9.3
dovevo,9.4,1,9.4
shumai,25.4,3,8.466666666666667
adjustment,18.3,2,9.15
liberace,9.0,1,9.0
towed,9.5,1,9.5
violently,8.5,1,8.5
shaped,62.4,7,8.914285714285715
renovation,26.3,3,8.766666666666667
brag,26.3,3,8.766666666666667
ambians,9.4,1,9.4
cadets,8.1,1,8.1
attacking,9.3,1,9.3
niet,9.4,1,9.4
sid,8.3,1,8.3
les,247.3,28,8.832142857142857
lacking,135.5,16,8.46875
tr,97.3,14,6.95
grocer,16.7,2,8.35
approx,27.4,4,6.85
manhatttan,9.3,1,9.3
mustaches,9.3,1,9.3
horizons,9.2,1,9.2
undisputedly,9.4,1,9.4
jeans,27.5,3,9.166666666666666
leroy,9.1,1,9.1
gordo,25.5,3,8.5
homenade,9.4,1,9.4
acid,35.2,4,8.8
bat,18.4,2,9.2
scowl,8.3,1,8.3
handle,214.3,25,8.572000000000001
lesbians,8.3,1,8.3
photobooth,87.4,11,7.945454545454546
gotten,127.3,16,7.95625
bound,42.5,5,8.5
knowledge,51.5,6,8.583333333333334
boul,7.5,1,7.5
participating,22.5,3,7.5
transmiss,9.5,1,9.5
chow,35.3,4,8.825
pa,57.5,8,7.1875
bookshelf,18.3,2,9.15
mealtimes,9.4,1,9.4
despretensioso,18.3,2,9.15
fellow,56.7,7,8.1
uga,8.8,1,8.8
collab,9.1,1,9.1
gordita,12.5,2,6.25
drift,8.6,1,8.6
sean,18.6,2,9.3
cathy,8.8,2,4.4
