value,frequency
6.2,1
6.5,5
6.6,2
6.8,7
6.9,1
7.2,5
7.3,2
7.5,4
7.6,3
7.8,8
8.0,1
8.1,6
8.2,3
8.3,6
8.5,2
8.6,2
8.7,3
8.8,1
8.9,1
9.0,6
9.1,16
9.2,11
9.3,3
9.4,8
