value,frequency
5.6,1
6.5,2
6.6,3
6.8,3
6.9,3
7.2,1
7.3,2
7.5,2
7.8,1
8.1,4
8.2,2
8.3,1
8.4,1
9.0,3
9.1,8
9.2,1
9.4,3
