value,frequency
5.6,3
6.1,5
6.2,3
6.3,1
6.5,29
6.6,28
6.8,20
6.9,22
7.0,2
7.1,17
7.2,36
7.3,26
7.4,4
7.5,58
7.6,29
7.7,15
7.8,23
7.9,4
8.0,51
8.1,39
8.2,59
8.3,42
8.4,11
8.5,25
8.6,49
8.7,84
8.8,33
8.9,76
9.0,165
9.1,279
9.2,141
9.3,68
9.4,140
